X	Y	veg2010	TRI	snowcov	HFI2012
609505.5503	5689229	128.62822	25.13285	5.23684	121.25678
613505.5503	5689229	95.67723	41.41572	7.93023	122.95866
617505.5503	5689229	103.26656	45.93796	6.69492	128
621505.5503	5689229	113.01651	37.6525	4.73438	128
625505.5503	5689229	170.76215	11.79541	1.86667	128
629505.5503	5689229	186.92178	7.66312	0.34	128
633505.5503	5689229	172.94079	10.30406	0	127.62949
637505.5503	5689229	195.49135	13.54141	0	127.47918
641505.5503	5689229	173.80887	9.40897	0	124.32974
645505.5503	5689229	184.86164	7.6665	0.05882	127.666
649505.5503	5689229	171.53483	11.84086	0	123.82562
653505.5503	5689229	194.35622	13.03559	0	125.48678
601505.5503	5685229	141.99961	36.09328	1.5	127.8839
605505.5503	5685229	90.99009	41.94034	8.75	128
609505.5503	5685229	94.40348	41.064	6.96875	128
613505.5503	5685229	143.24835	32.24223	3.55357	123.98408
617505.5503	5685229	52.23703	39.02632	2.46875	127.95451
621505.5503	5685229	91.74121	38.0563	2.76563	127.98635
625505.5503	5685229	134.38267	27.59252	2.40625	127.45472
629505.5503	5685229	160.12715	14.22959	0.71875	126.22725
633505.5503	5685229	166.77013	7.20757	0	127.25892
637505.5503	5685229	178.65156	12.47444	0	127.36369
641505.5503	5685229	161.93593	9.46118	0	124.0591
645505.5503	5685229	153.4443	8.13216	0	121.06301
649505.5503	5685229	161.35605	9.04951	0	118.37658
653505.5503	5685229	157.42193	7.87652	0.10938	111.50138
657505.5503	5685229	155.88039	7.95764	0	122.92686
661505.5503	5685229	134.39894	10.00413	0	92.78461
665505.5503	5685229	114.25307	7.57017	0	67.08829
597505.5503	5681229	81.18611	30.73858	10.9	128
601505.5503	5681229	189.61997	21.82333	5.93103	127.82147
605505.5503	5681229	67.07741	42.7861	2.95313	128
609505.5503	5681229	96.99182	27.04245	3.53125	128
613505.5503	5681229	114.97472	32.39429	5.48214	128
617505.5503	5681229	109.08548	47.12181	6.45313	128
621505.5503	5681229	77.16525	48.32741	3.46875	128
625505.5503	5681229	75.27266	33.99279	1.17188	128
629505.5503	5681229	170.03011	8.39226	0	111.32752
633505.5503	5681229	164.93382	5.88696	0	114.90163
637505.5503	5681229	168.98994	8.39657	0	123.90212
641505.5503	5681229	148.70662	13.27902	0	120.54761
645505.5503	5681229	185.62767	4.97291	0	113.49112
649505.5503	5681229	153.77651	4.50527	0	103.04558
653505.5503	5681229	143.37202	6.81725	0	105.79186
657505.5503	5681229	125.75393	8.13487	0	89.02484
661505.5503	5681229	112.40434	5.09126	0	66.53535
