X,Y,veg2010,TRI,snowcov,HFI2012
407994.1485,6078465,213.67192,2.37329,0,126.05403
411994.1485,6078465,186.55138,1.41203,0,126.09425
415994.1485,6078465,200.5223,0.92603,0,126.4066
419994.1485,6078465,199.38046,1.09584,0,123.44895
423994.1485,6078465,210.67989,2.01074,0,122.88578
427994.1485,6078465,216.0396,2.08411,0.01754,126.8896
431994.1485,6078465,206.68637,3.30181,0.02174,127.73262
435994.1485,6078465,216.68834,1.40352,0,126.34334
399994.1485,6074465,164.08211,4.80623,0,126.99762
403994.1485,6074465,155.53108,2.34805,0,105.66688
407994.1485,6074465,201.36084,3.11129,0,123.40249
411994.1485,6074465,214.47321,2.15483,0,113.74185
415994.1485,6074465,202.60947,1.85804,0,118.08335
419994.1485,6074465,205.07694,1.58577,0,109.16607
423994.1485,6074465,195.66491,1.79318,0,113.43544
427994.1485,6074465,203.56988,3.49344,0,121.32838
431994.1485,6074465,205.31522,2.40409,0,127.34387
435994.1485,6074465,202.33657,2.75196,0,119.9887
439994.1485,6074465,184.06537,3.30582,0,110.92682
443994.1485,6074465,202.17887,2.19279,0,122.30571
395994.1485,6070465,201.44294,1.76234,0,101.38804
399994.1485,6070465,186.90562,3.4798,0,101.13853
403994.1485,6070465,182.41467,5.05279,0,124.31549
407994.1485,6070465,195.89293,2.73768,0,108.8703
411994.1485,6070465,212.83665,2.37579,0,115.99472
415994.1485,6070465,206.29325,1.91379,0,115.19814
419994.1485,6070465,184.64161,2.79687,0,116.82112
423994.1485,6070465,200.42725,2.15939,0,117.84064
427994.1485,6070465,197.29464,4.15816,0,127.14641
431994.1485,6070465,214.74224,2.11793,0,126.59305
435994.1485,6070465,212.17974,2.17964,0,127.01153
439994.1485,6070465,213.07508,2.95546,0,113.23548
443994.1485,6070465,210.25699,1.91586,0.03125,118.6923
447994.1485,6070465,214.13576,1.64871,0,126.24409
391994.1485,6066465,194.13661,3.1477,0,81.61269
395994.1485,6066465,142.0591,1.98924,0,102.91691
399994.1485,6066465,166.80256,3.3671,0.01563,90.81475
403994.1485,6066465,177.96918,4.85402,0,99.66071
407994.1485,6066465,191.33253,3.05975,0,94.8085
411994.1485,6066465,171.72415,1.59071,0,105.64418
415994.1485,6066465,189.54425,1.81898,0.01563,117.65699
419994.1485,6066465,214.32019,2.37587,0,114.12054
423994.1485,6066465,192.51009,3.20606,0,123.19786
427994.1485,6066465,203.52523,2.66442,0,123.86254
431994.1485,6066465,206.57842,1.63241,0,123.62589
435994.1485,6066465,210.48323,2.20434,0,120.69363
439994.1485,6066465,186.23882,2.69031,0,103.59379
443994.1485,6066465,195.62818,2.6761,0.14063,119.55974
447994.1485,6066465,196.79915,2.52089,0.14063,119.95998
451994.1485,6066465,214.31438,4.46299,0,125.01531
