#season	ID	occasion	detector
1	2W02	2	F97
1	2W02	1	F98
1	2W02	2	F98
1	2W02	3	F98
1	2W11C	3	F98
1	2W11C	2	F99
1	2W11C	3	F99
1	2W02	2	W01
1	2W08B	2	W01
1	2W09A	3	W01
1	2W08B	3	W01
1	2W08B	2	W02
1	2W08B	3	W02
1	2W08A	3	W02
1	2W09A	2	W04
1	2W09C	3	W06
1	2W11C	3	W06
1	2W11C	2	W08
1	1W18B	2	W08
1	1W16D	3	W08
1	1W16D	2	W08
1	1W16D	2	W09
1	1W18B	2	W09
1	1W16D	3	W09
1	1W16D	2	W11
1	1W19B	2	W11
1	3W19A	2	W15
1	3W19A	1	W16
1	3W19A	2	W16
1	3W19A	1	W18
1	1W21A	1	W18
1	1W21A	2	W19
1	1W18B	1	W19
1	1W21A	3	W19
1	1W18B	1	W21
1	2W28	1	W21
1	4W34A	2	W21
1	4W55C	3	W21
1	4W55C	2	W23
1	5W58A	3	W24
1	6W34E	3	W24
1	6W34E	2	W25
1	4W55C	3	W25
1	4W55C	3	W26
1	6W34E	2	W28
1	6W34E	4	W34
1	6W34E	6	W34
1	4W36B	6	W34
1	4W36B	5	W35
1	4W36B	6	W35
1	4W39B	4	W36
1	4W36B	4	W36
1	4W36B	5	W36
1	4W39B	5	W36
1	5W39A	6	W37
1	4W43D	6	W37
1	4W36B	6	W37
1	5W39A	5	W39
1	5W39A	4	W39
1	4W36B	5	W39
1	4W39B	5	W39
1	5W39A	5	W40
1	5W39A	6	W40
1	4W36B	6	W40
1	4W39B	6	W40
1	5W39A	5	W41
1	4W36B	5	W41
1	4W43D	5	W41
1	4W43D	6	W41
1	4W36B	5	W42
1	5W45A	5	W42
1	5W45A	5	W43
1	6W49A	4	W43
1	5W45A	4	W43
1	6W51A	5	W45
1	6W51A	6	W45
1	5W55A	6	W46
1	5W55A	6	W49
1	5W55A	6	W51
1	4W55C	6	W52
1	6W34E	6	W54
1	4W34A	6	W54
1	5W55A	5	W55
1	5W39A	5	W55
1	4W34A	5	W55
1	4W34A	6	W55
1	4W34A	4	W55
1	5W55A	6	W55
1	5W55A	4	W56
1	5W55A	6	W56
1	5W58A	5	W56
1	5W58A	4	W57
1	4W34A	5	W57
1	5W58A	5	W57
1	1W18B	5	W58
1	1W19B	5	W58
1	1W18B	5	W60
1	1W19B	6	W60
1	1W19B	5	W62
1	6W63A	5	W62
1	4W34A	5	W62
1	4W34A	4	W63
1	5W55A	5	W63
1	6W65A	6	W63
1	6W65A	4	W65
